ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,6.699999999999999,7.0,2.0,1.0447761194029852,1.2444444444444445,7.0,35.0,108.0,73.0,70.42857142857143,24.499895876496772,7.0,1.0,0.6074074074074074,0.0,0.0,0.0,64.0,8.0,0.0,1.9459101490483135,0.0,transformer,1,p11.mid,p11,piano,happy,3.869492210549746,0.9362675188667162,4.701025180372639,17.62006895897855,0.40889184676252877,0.27513030652945986
1.0,29.440909090909088,30.0,6.0,1.0189902732746643,14.44406779661017,20.0,30.0,108.0,78.0,70.9,19.303453922377035,26.0,0.8666666666666667,0.003389830508474576,0.0,0.0,1.0,24.0,3.0,0.0,3.2163581334868363,0.0,transformer,1,p12.mid,p12,synth,tense,3.8952780566780665,12.26335583329901,5.172453751801214,12.423627004858812,0.19512573013640405,0.042883700431387214
1.0,1.95,5.0,2.0,2.5641025641025643,3.225,4.0,63.0,108.0,45.0,82.2,17.85945127936466,5.0,1.0,0.1,0.0,0.0,1.0,32.0,4.0,0.0,1.6094379124291003,0.0,transformer,1,p13.mid,p13,strings,peaceful,2.3501657658501665,1.0442880366888394,16.47245375180121,10.979624361846437,0.09851556064487862,0.3619727087242347
1.0,19.8,19.0,3.0,0.9595959595959596,7.438287153652393,16.0,24.0,107.0,83.0,57.05263157894737,23.159569317444767,19.0,1.0,0.10327455919395466,0.0,0.0,1.0,0.0,0.0,1.0,2.9444389791474395,0.0,transformer,1,p14.mid,p14,full_orchestra,epic,3.9546723703567714,5.257575190341232,8.674914669251422,16.279742399926544,0.09524100145092397,0.11268803730696876
1.0,6.709090909090909,15.0,4.0,2.2357723577235773,6.404411764705882,15.0,30.0,83.0,53.0,57.0,14.854853303438128,15.0,1.0,0.25735294117647056,0.0,0.0,0.0,16.0,2.0,0.0,2.7080502010872096,0.0,transformer,1,p15.mid,p15,flute,mysterious,2.6784959722291535,4.223699801394721,8.727546248198792,7.9750263859199055,0.05883738053159193,0.15494391629913534
1.0,14.74090909090909,12.0,3.0,0.8140610545790935,4.9391891891891895,10.0,28.0,99.0,71.0,61.916666666666664,19.48699708922736,12.0,1.0,0.1891891891891892,0.0,0.0,0.0,24.0,3.0,0.0,2.484906649776,0.0,transformer,1,p16.mid,p16,synth,happy,4.100207275373637,2.758477225878029,3.8108795815321272,12.607170171709136,0.00932637145568943,0.12367105755208278
1.0,115.14090909090909,36.0,6.0,0.3126603766136355,10.1875,24.0,27.0,104.0,77.0,62.19444444444444,20.095355246154167,32.0,0.8888888888888888,0.0008680555555555555,0.0,0.4166666666666667,1.0,88.0,11.0,0.0,3.4294862316330113,0.0,transformer,1,p17.mid,p17,strings,sad,4.601607953339095,8.006788036688839,3.5331018037543487,13.215528328635944,0.19764750508932308,0.050403468995876305
1.0,29.30909090909091,22.0,3.0,0.750620347394541,5.7312925170068025,18.0,27.0,106.0,79.0,60.0,19.732299317708424,22.0,1.0,0.003401360544217687,0.0,0.0,0.0,64.0,8.0,0.0,3.0910424533363146,0.0,transformer,1,p18.mid,p18,brass,heroic,4.16364798255819,3.550580553695642,5.7275462481987915,12.852472400190202,0.19511420010066094,0.17646389877668045
1.0,7.199999999999999,13.0,2.0,1.8055555555555558,6.855172413793103,12.0,24.0,92.0,68.0,63.69230769230769,17.864380612676058,13.0,1.0,0.006896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,2.5649493574485365,0.0,transformer,1,p19.mid,p19,piano,playful,3.108712774397175,4.674460450481943,2.035238555891098,10.984553695157835,0.19161900892074069,0.1656872099702026
1.0,27.49090909090909,39.0,3.0,1.4186507936507937,13.584392014519056,27.0,27.0,108.0,81.0,68.82051282051282,21.207003916669382,33.0,0.8461538461538461,0.023593466424682397,0.0,0.0,0.0,0.0,0.0,0.0,3.4368689714688543,0.0,transformer,1,p20.mid,p20,organ,dark,3.4956175363019373,11.403680051207894,3.092966572314026,14.32717699915116,0.17492209422019622,0.1107925551930311
